prediction,variety,points,price
1,Nicosia 2013 Vulkà Bianco  (Etna),87,""
1,Rainstorm 2013 Pinot Gris (Willamette Valley),87,14.0
1,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),87,13.0
1,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),87,65.0
1,Trimbach 2012 Gewurztraminer (Alsace),87,24.0
1,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),87,12.0
1,Mirassou 2012 Chardonnay (Central Coast),87,12.0
1,Richard Böcking 2013 Devon Riesling (Mosel),87,24.0
1,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),87,13.0
1,Acrobat 2013 Pinot Noir (Oregon),87,20.0
1,Baglio di Pianetto 2007 Ficiligno White (Sicilia),87,19.0
1,Stemmari 2013 Dalila White (Terre Siciliane),87,13.0
1,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),86,16.0
1,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),86,""
1,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),86,""
1,Envolve 2011 Sauvignon Blanc (Sonoma Valley),86,20.0
1,Erath 2010 Hyland Pinot Noir (McMinnville),86,50.0
1,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),86,15.0
1,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),86,11.0
1,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),86,12.0
1,Feudo Montoni 2011 Catarratto (Sicilia),86,17.0
1,Robert Hall 2011 Sauvignon Blanc (Paso Robles),86,14.0
1,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),86,13.0
1,The White Knight 2011 Riesling (Lake County),86,13.0
1,Trump 2011 Sauvignon Blanc (Monticello),86,16.0
1,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),85,30.0
1,Souverain 2010 Chardonnay (North Coast),85,14.0
1,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),85,13.0
1,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),85,13.0
1,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),86,26.0
