prediction,variety,points,price
2,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),87,15.0
2,Terre di Giurfo 2013 Belsito Frappato (Vittoria),87,16.0
2,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),87,19.0
2,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),87,34.0
2,Masseria Setteporte 2012 Rosso  (Etna),87,""
2,Felix Lavaque 2010 Felix Malbec (Cafayate),87,30.0
2,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),87,28.0
2,Quiévremont 2012 Meritage (Virginia),87,32.0
2,Quiévremont 2012 Vin de Maison Red (Virginia),87,23.0
2,Bianchi 2011 Signature Selection Merlot (Paso Robles),87,22.0
2,Canicattì 2009 Aynat Nero d'Avola (Sicilia),87,35.0
2,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),87,69.0
2,Stemmari 2013 Nero d'Avola (Terre Siciliane),87,10.0
2,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),87,17.0
2,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),86,50.0
2,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),86,21.0
2,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),86,22.0
2,Sundance 2011 Merlot (Maule Valley),86,9.0
2,Tarara 2010 #SocialSecret Red (Virginia),86,40.0
2,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),86,""
2,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),85,22.0
2,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),85,14.0
2,Corvo 2010 Rosso Red (Sicilia),85,""
2,Mellisoni 2014 Malbec (Columbia Valley (WA)),86,55.0
2,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),86,100.0
2,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),86,17.0
2,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),86,25.0
2,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),86,46.0
2,Cocobon 2014 Red (California),86,12.0
2,Grifalco 2013 Daginestra  (Aglianico del Vulture),86,32.0
2,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),86,75.0
2,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),86,75.0
2,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),86,12.0
2,Napa Cellars 2014 Classic Zinfandel (Napa Valley),86,24.0
2,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),86,55.0
2,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),86,29.0
2,Fattoria Sardi 2015 Rosato (Toscana),88,19.0
2,Ferrari-Carano 2014 Siena Red (Sonoma County),88,23.0
2,Franciscan 2013 Magnificat Meritage (Napa Valley),88,55.0
2,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),88,30.0
2,Madonna Alta 2014 Nativo Red (Toscana),87,16.0
2,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),87,30.0
2,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),87,26.0
2,Ornellaia 2014 Le Volte Red (Toscana),87,30.0
2,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),87,85.0
2,Podere Ciona 2014 Semifonte Red (Toscana),87,15.0
2,Pull 2012 BDX Red (Paso Robles),87,18.0
2,Rideau 2014 Estate Syrah,87,44.0
