prediction,variety,points,price
0,Quinta dos Avidagos 2011 Avidagos Red (Douro),87,15.0
0,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),87,27.0
0,Leon Beyer 2012 Gewurztraminer (Alsace),87,30.0
0,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),86,""
0,Henry Fessy 2012 Nouveau  (Beaujolais),86,9.0
0,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),86,14.0
0,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),85,15.0
0,Roland Champion NV Brut Rosé  (Champagne),86,58.0
0,Simonnet-Febvre 2015  Chablis,86,24.0
0,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,86,15.0
0,Collet NV Brut Rosé  (Champagne),86,55.0
0,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),86,""
0,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),86,11.0
0,Henry Fessy 2015  Juliénas,88,20.0
0,Henry Fessy 2015  Régnié,88,18.0
0,Pardon et Fils 2015 Les Quartelets  (Brouilly),87,23.0
0,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),91,45.0
0,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),91,30.0
0,Giacomo Ascheri 2001 Sorano  (Barolo),91,60.0
0,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),90,""
0,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),91,30.0
0,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),91,26.0
0,Château Vincens 2012 Malbec (Cahors),91,35.0
0,Collin-Bourisset 2011 Hospices Civils de Romanèche Thurins  (Moulin-à-Vent),91,""
0,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),91,25.0
0,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),88,27.0
0,Bertrand Ambroise 2006  St.-Romain,87,35.0
0,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),90,28.0
0,Quinta de Foz de Arouce 2013 Red (Beira Atlantico),90,20.0
0,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),89,13.0
0,Mariell 2009 Blaufränkisch (Leithaberg),89,17.0
0,Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal),92,24.0
0,Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner (Kremstal),92,""
0,Château Lafon-Rochet 2011  Saint-Estèphe,92,""
0,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),92,45.0
0,Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages),87,30.0
0,Château Mont-Pérat 2008 Les Amants Mont-Pérat  (Bordeaux Blanc),86,""
0,Château Tour de Mirambeau 2006  Bordeaux Blanc,86,""
0,Jacquart NV Mosaïque Rosé Brut  (Champagne),86,42.0
0,Louis Latour 2014 Le Montrachet  (Montrachet),96,630.0
0,Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot),95,350.0
0,Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),95,110.0
0,Louis Latour 2014  Criots-Bâtard-Montrachet,95,380.0
0,Michlits 2007 Biokult Zweigelt Pinot Noir Red (Burgenland),85,""
0,Château de Callac 2011  Graves,89,20.0
0,Château de Marsan 2015  Bordeaux Blanc,89,""
0,Gadais Père et Fils 2015 Domaine de la Vieille Cure Sur Lie  (Muscadet Sèvre et Maine),88,14.0
0,Patrick Javillier 2011 Les Tillets  (Meursault),92,""
0,Philippe Fontaine NV Brut Prestige  (Champagne),92,69.0
0,Chanoine NV Tzarina No 1 Brut  (Champagne),92,100.0
0,Henri de Villamont 2010 Blagny Premier Cru  (Meursault),92,66.0
0,Vollereaux 2007 Cuvée Marguerite Brut  (Champagne),92,60.0
0,Deutz 2007 Blanc de Blancs Brut Chardonnay (Champagne),92,""
0,H. Blin 2003 Édition Limitée Extra Brut  (Champagne),92,70.0
0,Henri de Villamont 2010 Les Chatelots Premier Cru  (Chambolle-Musigny),92,73.0
0,Henri de Villamont 2010 Les Feusselottes Premier Cru  (Chambolle-Musigny),92,72.0
0,Jeaunaux-Robin 2004 Les Grands Nots Millesimé Brut  (Champagne),92,""
0,Château Vray Croix de Gay 2010  Pomerol,92,65.0
0,Dampierre 2005 Grand Cru Family Reserve Brut  (Champagne),92,""
0,Winzer Krems 2011 Kellermeister Privat Goldberg Grüner Veltliner (Kremstal),87,18.0
0,Domaine du Grand Cros 2011 L'Esprit de Provence Rosé (Côtes de Provence),87,20.0
0,Boude Baudin 2010 Cuvée St Clément  (Champagne),91,70.0
0,Boude Baudin NV B. Zéro Brut Dosage  (Champagne),91,59.0
0,Davis Family 2014 Starr Ridge Vineyard Pinot Noir (Russian River Valley),91,55.0
0,Ruby 2015 Steve's Reserve Pinot Noir (Chehalem Mountains),91,65.0
0,Jeaunaux-Robin NV Brut Zéro Sélection  (Champagne),91,42.0
0,Le Cadeau 2015 Diversité Pinot Noir (Willamette Valley),91,50.0
0,Château Vignelaure 2015 Rosé (Coteaux d'Aix-en-Provence),93,20.0
0,Mas de Cadenet 2015 Mas Negrel Cadenet Rosé (Côtes de Provence Sainte-Victoire),93,40.0
0,Château Bois Chantant 2015  Bordeaux Supérieur,89,14.0
0,Château de l'Aubrade 2015  Bordeaux Supérieur,89,14.0
0,Château de Pressac 2014 Les Terrasses de Pressac  (Saint-Émilion),89,37.0
0,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux),89,15.0
0,Quinta do Portal 2012 Verdelho and Sauvignon Blanc White (Douro),87,15.0
0,Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red (Alentejano),92,30.0
0,Quinta da Lagoalva de Cima 2013 Lagoalva Barrel Selection Tinto Red (Tejo),92,23.0
0,Château d'Esclans 2013 Les Clans Rosé (Côtes de Provence),91,65.0
0,Château Riotor 2014 Rosé (Côtes de Provence),91,17.0
0,Château Sainte Marguerite 2014 Rosé (Côtes de Provence),91,""
0,Domaine de la Bastide Blanche 2014 TwoB Rosé (Côtes de Provence),91,20.0
0,Domaine du Grand Cros 2014 L'Esprit de Provence Rosé (Côtes de Provence),91,20.0
0,Domaine Sainte-Marie 2014 VieVité Extraordinaire Rosé (Côtes de Provence),91,25.0
0,JCB 2014 No. 5 Rosé (Côtes de Provence),91,25.0
0,Casca Wines 2015 Bote Chardonnay-Fernão Pires-Vital White (Lisboa),85,8.0
